"Cloud Adoption Security Review - Feb 2, 2023 - 8:12:04 PM",,,,,
,,,,,
Recommendations for your environment,,,,,
Your overall results,Critical,'2/100',,,
Business Alignment,Critical,'8/100',,,
Access Control,Critical,'3/100',,,
Security Operations,Critical,'0/100',,,
Asset Protection,Critical,'0/100',,,
Security Governance,Critical,'0/100',,,
Innovation Security,Critical,'0/100',,,
,,,,,
,,,,,
Business Alignment,https://learn.microsoft.com/azure/cloud-adoption-framework/secure/#business-alignment,,,,
Access Control,https://learn.microsoft.com/azure/cloud-adoption-framework/secure/access-control,,,,
Security Operations,https://learn.microsoft.com/azure/cloud-adoption-framework/secure/security-operations,,,,
,,,,,
Category,Link-Text,Link,Priority,ReportingCategory,ReportingSubcategory,Weight,Context,CompleteY/N,Note
Business Alignment,Establish cloud security roles and responsibilities,https://learn.microsoft.com/azure/cloud-adoption-framework/organize/cloud-security,High,Business Alignment,,70,,N,
Business Alignment,Establish team for security architecture functions,https://learn.microsoft.com/azure/cloud-adoption-framework/organize/cloud-security-architecture,High,Business Alignment,,70,,N,
Business Alignment,Establish team for security policy and standards functions,https://learn.microsoft.com/azure/cloud-adoption-framework/organize/cloud-security-policy-standards,High,Business Alignment,,70,,N,
Business Alignment,Establish team for people security functions,https://learn.microsoft.com/azure/cloud-adoption-framework/organize/cloud-security-people,High,Business Alignment,,70,,N,
Business Alignment,Establish team for identity and key management functions,https://learn.microsoft.com/azure/cloud-adoption-framework/organize/cloud-security-identity-keys,High,Business Alignment,,70,,N,
Business Alignment,Establish team for compliance management functions,https://learn.microsoft.com/azure/cloud-adoption-framework/organize/cloud-security-compliance-management,High,Business Alignment,,70,,N,
Business Alignment,Establish team for application security and DevSecOps functions,https://learn.microsoft.com/azure/cloud-adoption-framework/organize/cloud-security-application-security-devsecops,High,Business Alignment,,70,,N,
Business Alignment,Establish team for infrastructure security functions,https://learn.microsoft.com/azure/cloud-adoption-framework/organize/cloud-security-infrastructure-endpoint,High,Business Alignment,,70,,N,
Business Alignment,Establish team for security operations (SecOps) functions,https://learn.microsoft.com/azure/cloud-adoption-framework/organize/cloud-security-operations-center,High,Business Alignment,,70,,N,
Business Alignment,Establish team for incident response and threat hunting functions,https://learn.microsoft.com/azure/cloud-adoption-framework/organize/cloud-security-threat-intelligence,High,Business Alignment,,70,,N,
Business Alignment,Establish team for data security functions,https://learn.microsoft.com/azure/cloud-adoption-framework/organize/cloud-security-data-security,High,Business Alignment,,70,,N,
Business Alignment,Capture critical business risks,https://learn.microsoft.com/azure/cloud-adoption-framework/govern/security-baseline/template,Medium,Business Alignment,,60,,N,
Business Alignment,Prepare business owners for risk tolerance metrics and indicators,https://learn.microsoft.com/azure/cloud-adoption-framework/govern/security-baseline/metrics-tolerance,Medium,Business Alignment,,60,,N,
Business Alignment,Quantify business risk tolerance associated with the Security Baseline discipline,https://learn.microsoft.com/azure/cloud-adoption-framework/govern/security-baseline/metrics-tolerance,Medium,Business Alignment,,60,,N,
