DevOps Capability Assessment - Full Test,,,,,
,,,,,
Recommendations for your improvement,,,,,
Your overall results,Moderate,'61/164',,,
Agile Software Development,Moderate,'49/100',,,
Version Control,Critical,'71/260',,,
Continuous Integration and Continuous Delivery (CI/CD),Critical,'96/450',,,
Infrastructure as a Flexible Resource,Moderate,'59/100',,,
Continuous Security,Proficent,'74/100',,,
Configuration Management,Critical,'32/100',,,
Continuous Monitoring,Moderate,'62/100',,,
Culture,Moderate,'44/100',,,
,,,,,
,,,,,
"Review, identify and classify business critical applications",https://learn.microsoft.com/azure/well-architected/security/design-apps-services#identify-and-classify-business-critical-applications,,,,
Review automation,https://learn.microsoft.com/azure/well-architected/devops/release-engineering-cd#automation,,,,
Review technical debt,https://learn.microsoft.com/devops/plan/what-is-agile-development#minimize-technical-debt,,,,
,,,,,
Category,Link-Text,Link,Priority,ReportingCategory,ReportingSubcategory,Weight,Context,CompleteY/N,Note
Agile Software Development,Setup a planned iteration for alignment on product planning,https://docs.microsoft.com/en-us/devops/plan/what-is-scrum#sprint-planning-and-the-sprint-backlog,High,Adopting Agile Practices,Agile Planning,95,Setup a planned iteration for alignment on product planning,N,
Agile Software Development,Plan Sprint Reviews among the team to evaluate work,https://docs.microsoft.com/en-us/devops/plan/what-is-scrum#sprint-review-and-sprint-retrospective,High,Adopting Agile Practices,Sprint Reviews,95,Plan Sprint Reviews among the team to evaluate work,N,
Agile Software Development,Consider planning and scheduling work in time boxed sprints/iterations.,https://docs.microsoft.com/en-us/devops/plan/adopting-agile#schedule-and-rhythm,High,Adopting Agile Practices,Agile Planning,90,Consider planning and scheduling work in time boxed sprints/iterations.,N,
Agile Software Development,Drive toward small iterative sprints,https://devblogs.microsoft.com/premier-developer/what-is-your-agile,High,Adopting Agile Practices,Agile Planning,90,Drive toward small iterative sprints,N,
Agile Software Development,Understand Agile Development,https://devblogs.microsoft.com/devops/azurefunbytes-intro-to-agile-development-with-abel-wang,High,Adopting Agile Practices,Agile Process,70,Understand Agile Development,N,
Version Control,Protect branches with policies,https://docs.microsoft.com/en-us/devops/develop/git/git-pull-requests#protect-branches-with-policies,High,Software Development Practices,Branching Strategy,95,Protect branches with policies,N,
Version Control,Configure check-in policies,https://docs.microsoft.com/en-us/devops/develop/git/git-pull-requests#protect-branches-with-policies,High,Software Development Practices,Branching Strategy,95,Configure check-in policies,N,
Version Control,Update code with fetch and pull,https://docs.microsoft.com/en-us/devops/develop/git/git-share-code#stage-changes,High,Software Development Practices,Branching Strategy,90,Update code with fetch and pull,N,
Version Control,Implement a Code Review Strategy,https://devblogs.microsoft.com/appcenter/how-the-visual-studio-mobile-center-team-does-code-review/,High,Software Development Practices,Code Reviews,90,Implement a Code Review Strategy,N,
Version Control,Perform peer code reviews prior to every commit or check-in,https://docs.microsoft.com/en-us/devops/develop/git/git-pull-requests#get-code-reviewed,High,Software Development Practices,Code Reviews,90,Perform peer code reviews prior to every commit or check-in,N,
Version Control,Integrate code early and often,https://docs.microsoft.com/en-us/devops/plan/what-is-agile-development#integrate-early-and-often,High,Software Development Practices,Source Control Integration,90,Integrate code early and often,N,
Continuous Integration and Continuous Delivery (CI/CD),Implement release gates,https://learn.microsoft.com/azure/devops/pipelines/release/approvals/?view=azure-devops&tabs=yaml,High,Continuous Deployment & Testing,Build Environments,95,Implement release gates,N,
Continuous Integration and Continuous Delivery (CI/CD),Implement automated deployment process with rollback/roll-forward capabilities,https://learn.microsoft.com/azure/architecture/framework/devops/release-engineering-rollback,High,Continuous Deployment & Testing,Application Code Deployments,90,Implement automated deployment process with rollback/roll-forward capabilities,N,
Continuous Integration and Continuous Delivery (CI/CD),Document all portions of the deployment that require manual intervention,https://learn.microsoft.com/azure/architecture/framework/devops/automation-infrastructure#manual-deployment,High,Continuous Deployment & Testing,Application Code Deployments,88,Document all portions of the deployment that require manual intervention,N,
Continuous Integration and Continuous Delivery (CI/CD),Use common deployment strategies to deploy your applications,https://learn.microsoft.com/azure/well-architected/devops/release-engineering-cd#stage-your-workloads,High,Continuous Deployment & Testing,Application Code Deployments,88,Use common deployment strategies to deploy your applications,N,
Continuous Integration and Continuous Delivery (CI/CD),Control Exposure of Updates,https://learn.microsoft.com/devops/operate/safe-deployment-practices#controlling-exposure-to-customers,High,Continuous Deployment & Testing,Application Code Deployments,70,Control Exposure of Updates,N,
Continuous Integration and Continuous Delivery (CI/CD),Write tests at the lowest level,https://learn.microsoft.com/devops/develop/shift-left-make-testing-fast-reliable#tests-should-be-written-at-the-lowest-level-possible,High,Continuous Deployment & Testing,Testing & Validation,70,Write tests at the lowest level,N,
Infrastructure as a Flexible Resource,Automate infrastructure deployment process,https://learn.microsoft.com/azure/architecture/framework/devops/automation-overview,High,Repeatable Infrastructure,,0,Automate infrastructure deployment process,N,
Infrastructure as a Flexible Resource,Define all infrastructure components as code,https://learn.microsoft.com/azure/architecture/framework/devops/automation-infrastructure,High,Repeatable Infrastructure,,95,Define all infrastructure components as code,N,
