"Azure Well-Architected Review - Nov 17, 2023 - 2:38:53 AM",,,,,,,,,
,,,,,,,,,
Recommendations for your workload,,,,,,,,,
Your overall results,Critical,'0/120',,,,,,,
Reliability,Critical,'0/200',,,,,,,
Security,Critical,'0/100',,,,,,,
Cost Optimization,Critical,'0/100',,,,,,,
Operational Excellence,Critical,'0/100',,,,,,,
Performance Efficiency,Critical,'0/101',,,,,,,
,,,,,,,,,
Next Steps,,,,,,,,,
Learn about discounts.,https://learn.microsoft.com/azure/well-architected/cost-optimization/get-best-rates#evaluate-and-commit-to-available-discounts,,,,,,,,
Learn about data classification.,https://learn.microsoft.com/azure/well-architected/security/data-classification#define-the-classification-scope,,,,,,,,
Learn about safe deployment practices.,https://learn.microsoft.com/azure/well-architected/operational-excellence/safe-deployments#key-design-strategies,,,,,,,,
,,,,,,,,,
Category,Link-Text,Link,Priority,ReportingCategory,ReportingSubcategory,Weight,Context,CompleteY/N,Note
Reliability,"RE:04 - Define healthy, degraded, and unhealthy states.",https://learn.microsoft.com/azure/well-architected/reliability/metrics#building-a-health-model,High,RE:04,,80,,N,
Reliability,RE:09 - Define recovery processes.,https://learn.microsoft.com/azure/well-architected/reliability/disaster-recovery#maintain-a-disaster-recovery-plan,High,RE:09,,75,,N,
Reliability,RE:02 - Identify all user and system flows of your workload.,https://learn.microsoft.com/azure/well-architected/reliability/identify-flows#key-design-strategies,High,RE:02,,75,,N,
Reliability,RE:04 - Define recovery targets.,https://learn.microsoft.com/azure/well-architected/reliability/metrics#recovery-metrics,High,RE:04,,75,,N,
Reliability,RE:07 - Degrade gracefully. ,https://learn.microsoft.com/azure/well-architected/reliability/self-preservation#application-design-guidance-and-patterns-1,High,RE:07,,70,,N,
Reliability,RE:06 - Ensure that all components are candidates for scaling.,https://learn.microsoft.com/azure/well-architected/reliability/scaling#key-design-strategies,High,RE:06,,70,,N,
Reliability,RE:10 - Configure alerts at critical thresholds.,https://learn.microsoft.com/azure/well-architected/reliability/monitoring-alerting-strategy#general-guidance,High,RE:10,,70,,N,
Reliability,RE:07 - Make your workload resilient to transient faults.,https://learn.microsoft.com/azure/well-architected/reliability/handle-transient-faults#key-design-strategies,High,RE:07,,70,,N,
Reliability,RE:10 - Incorporate platform monitoring and alerting services.,https://learn.microsoft.com/azure/well-architected/reliability/monitoring-alerting-strategy#general-guidance,Medium,RE:10,,65,,N,
Reliability,RE:01 - Abstract infrastructure away from domain logic.,https://learn.microsoft.com/azure/well-architected/reliability/simplify#additional-design-recommendations,Medium,RE:01,,65,,N,
Reliability,RE:04 - Build a health model. ,https://learn.microsoft.com/azure/well-architected/reliability/metrics#building-a-health-model,Medium,RE:04,,65,,N,
Reliability,RE:09 - Define what constitutes a disaster.,https://learn.microsoft.com/azure/well-architected/reliability/disaster-recovery#maintain-a-disaster-recovery-plan,Medium,RE:09,,65,,N,
Reliability,RE:09 - Conduct disaster recovery drills.,https://learn.microsoft.com/azure/well-architected/reliability/disaster-recovery#conduct-disaster-recovery-drills,Medium,RE:09,,65,,N,
Reliability,RE:07 - Use infrastructure and application design patterns.,https://learn.microsoft.com/azure/well-architected/reliability/self-preservation#self-preservation-guidance,Medium,RE:07,,65,,N,
Reliability,RE:05 - Use built-in platform capabilities for compute redundancy.,https://learn.microsoft.com/azure/well-architected/reliability/redundancy#compute-resources,Medium,RE:05,,65,,N,
Reliability,RE:06 - Understand the relationship of the flow's components for scaling.,https://learn.microsoft.com/azure/well-architected/reliability/scaling#key-design-strategies,Medium,RE:06,,60,,N,
Reliability,RE:03 - Identify the effect of failure on a workload.,https://learn.microsoft.com/azure/well-architected/reliability/failure-mode-analysis#outcome,Medium,RE:03,,60,,N,
Security,SE:05 - Secure high-impact accounts.,https://learn.microsoft.com/azure/well-architected/security/identity-access#critical-impact-accounts,High,SE:05,,100,,N,
Security,SE:05 - Make conditional access choices.,https://learn.microsoft.com/azure/well-architected/security/identity-access#make-conditional-access-choices,High,SE:05,,95,,N,
Security,SE:06 - Pass egress and ingress traffic through a firewall.,https://learn.microsoft.com/azure/well-architected/security/networking#apply-firewalls-at-the-edge,High,SE:06,,90,,N,
Security,SE:08 - Apply a deny-by-default approach.,https://learn.microsoft.com/azure/well-architected/security/harden-resources#networking,High,SE:08,,90,,N,
Security,SE:06 - Apply distributed denial-of-service (DDoS) protection.,https://learn.microsoft.com/azure/well-architected/security/networking#protect-against-distributed-denial-of-service-ddos-attacks,High,SE:06,,90,,N,
Security,SE:03 - Understand organization-defined taxonomy.,https://learn.microsoft.com/azure/well-architected/security/data-classification#understand-organization-defined-taxonomy,High,SE:03,,90,,N,
Security,SE:05 - Determine actions for authorization.,https://learn.microsoft.com/azure/well-architected/security/identity-access#determine-actions-for-authorization,High,SE:05,,90,,N,
Security,SE:10 - Record access patterns and modifications.,https://learn.microsoft.com/azure/well-architected/security/monitor-threats#identity-and-access-monitoring,High,SE:10,,90,,N,
Security,SE:09 - Use policies to control access to secrets.,https://learn.microsoft.com/azure/well-architected/security/application-secrets#key-design-strategies,High,SE:09,,90,,N,
