"Cloud Adoption Security Assessment (CASA) - Nov 28, 2024 - 1:55:21 PM",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Your overall results,Critical,'2/100',,,,,,,
"CAF - Teams, roles and functions",Critical,'17/100',,,,,,,
CAF - Strategy,Critical,'0/100',,,,,,,
CAF - Plan,Critical,'0/100',,,,,,,
CAF - Ready,Critical,'0/100',,,,,,,
CAF - Adopt,Critical,'0/100',,,,,,,
CAF - Govern,Critical,'0/100',,,,,,,
CAF - Manage,Critical,'0/100',,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Category,Link-Text,Link,Priority,ReportingCategory,ReportingSubcategory,Weight,Context,CompleteY/N,Note
"CAF - Teams, roles and functions","T-1-5-1: Define and document a security role framework with clear responsibilities for each stage of the cloud lifecycle, and communicate it to all relevant teams.",https://learn.microsoft.com/azure/cloud-adoption-framework/secure/teams-roles,High,Teams and Roles,,80,,N,
"CAF - Teams, roles and functions","T-5-5-1: Define internal GRC processes to complement provider policies, ensuring comprehensive governance and risk management.",https://learn.microsoft.com/azure/cloud-adoption-framework/secure/teams-roles,High,Teams and Roles,,80,,N,
"CAF - Teams, roles and functions","T-3-5-1: Define internal security responsibilities to complement cloud provider roles, ensuring a balanced approach to cloud security.",https://learn.microsoft.com/azure/cloud-adoption-framework/secure/teams-roles,High,Teams and Roles,,70,,N,
"CAF - Teams, roles and functions",T-4-5-1: Shift the focus of security updates to address emerging threats in addition to compliance requirements.,https://learn.microsoft.com/azure/cloud-adoption-framework/secure/teams-roles,High,Teams and Roles,,70,,N,
"CAF - Teams, roles and functions",T-2-5-1: Broaden collaboration to cover additional areas of cloud security beyond specific functions like IAM or network security.,https://learn.microsoft.com/azure/cloud-adoption-framework/secure/teams-roles,Medium,Teams and Roles,,60,,N,
CAF - Strategy,S-1-5-1: Define governance policies to ensure consistent application of Zero Trust principles across the organization.,https://learn.microsoft.com/azure/cloud-adoption-framework/secure/strategy,High,Strategy,,80,,N,
CAF - Strategy,S-3-3-1: Implement Zero Trust access control policies using least privilege and just-in-time access to minimize unauthorized access risks.,https://learn.microsoft.com/azure/cloud-adoption-framework/secure/strategy,High,Strategy,,80,,N,
CAF - Strategy,S-2-8-1: Perform a risk assessment to prioritize responses to cloud-specific incidents.,https://learn.microsoft.com/azure/cloud-adoption-framework/secure/strategy,High,Strategy,,70,,N,
CAF - Strategy,S-2-1-1: Implement a cloud-specific incident response plan to address cloud-specific risks and ensure business continuity.,https://learn.microsoft.com/azure/cloud-adoption-framework/secure/strategy,High,Strategy,,70,,N,
CAF - Strategy,S-2-3-1: Schedule regular cloud-specific incident response drills to enhance team preparedness and identify process gaps.,https://learn.microsoft.com/azure/cloud-adoption-framework/secure/strategy,High,Strategy,,70,,N,
CAF - Strategy,S-1-3-1: Assign specialized cloud security roles to oversee critical security functions.,https://learn.microsoft.com/azure/cloud-adoption-framework/secure/strategy,High,Strategy,,70,,N,
CAF - Strategy,S-2-4-1: Define a rapid process for forensic data collection during cloud incidents.,https://learn.microsoft.com/azure/cloud-adoption-framework/secure/strategy,High,Strategy,,70,,N,
CAF - Strategy,S-2-6-1: Deploy continuous monitoring tools for real-time threat and anomaly detection.,https://learn.microsoft.com/azure/cloud-adoption-framework/secure/strategy,High,Strategy,,70,,N,
CAF - Strategy,S-3-4-1: Enable and periodically review audit logs to detect and address unauthorized access to sensitive data.,https://learn.microsoft.com/azure/cloud-adoption-framework/secure/strategy,High,Strategy,,70,,N,
CAF - Strategy,"S-3-1-1: Define data privacy and protection policies aligned with GDPR, HIPAA, and similar regulations.",https://learn.microsoft.com/azure/cloud-adoption-framework/secure/strategy,High,Strategy,,70,,N,
CAF - Strategy,S-3-2-1: Establish a risk management framework to identify and mitigate threats to data confidentiality.,https://learn.microsoft.com/azure/cloud-adoption-framework/secure/strategy,High,Strategy,,70,,N,
