Gen AI Workload Security Assessment - Sample File,,,,,
,,,,,
Recommendations for your Gen AI workload,,,,,
Your overall results,Critical,'0/100',,,
GenAI Security: Architecture,Critical,'0/100',,,
GenAI Security: Risk Management and Compliance,Critical,'0/100',,,
GenAI Security: Agents Security,Critical,'0/100',,,
,,,,,
,,,,,
,https://learn.microsoft.com,,,,
,,,,,
Category,Link-Text,Link,Priority,ReportingCategory,ReportingSubcategory,Weight,Context,CompleteY/N,Note
GenAI Security: Architecture,Implement Azure AI Content Safety or equivalent validation at both input and output stages to prevent malicious prompt exploitation and unsafe responses.,https://learn.microsoft.com/azure/ai-services/content-safety/overview,High,SA:01,,100,,N,
GenAI Security: Architecture,"Add workflow guardrails, such as policy checks or business rules, to restrict what AI outputs can trigger.",https://learn.microsoft.com/azure/ai-foundry/concepts/evaluation-evaluators/risk-safety-evaluators,High,SA:01,,100,,N,
GenAI Security: Architecture,"Introduce mandatory security and quality reviews for all execution code and ensure only approved, version-controlled scripts are allowed to run in AI execution environments.",https://learn.microsoft.com/security/benchmark/azure/mcsb-v2-devop-security#ds-4.1,High,SA:01,,100,,N,
GenAI Security: Architecture,"Run all AI execution tasks in isolated, short-lived environments to prevent executed code from accessing unauthorized resources or impacting other system components.",https://learn.microsoft.com/azure/container-apps/sessions,High,SA:01,,100,,N,
GenAI Security: Architecture,"Apply API rate limiting, quotas, and usage monitoring to prevent overuse or endpoint overload.",https://learn.microsoft.com/microsoft-cloud/dev/dev-proxy/concepts/implement-rate-limiting-azure-api-management,High,SA:01,,100,,N,
GenAI Security: Architecture,Implement an output validation layer that checks and approves AI-generated actions before they affect external systems.,https://learn.microsoft.com/azure/ai-foundry/concepts/evaluation-evaluators/risk-safety-evaluators,High,SA:01,,100,,N,
GenAI Security: Architecture,"Configure Azure AI Content Safety Prompt Shield ",https://learn.microsoft.com/azure/ai-services/content-safety/concepts/jailbreak-detection,High,SA:01,,100,,N,
GenAI Security: Architecture,"Define and document clear data boundaries for each AI application based on user access levels and application purpose, ensuring internal, customer, and public data are strictly separated.",https://learn.microsoft.com/azure/cloud-adoption-framework/scenarios/ai/platform/security#secure-ai-data,High,SA:02,,100,,N,
GenAI Security: Architecture,Apply Azure ML Responsible AI dashboard and Content Safety filters to analyze and clean datasets before model training.,https://learn.microsoft.com/azure/machine-learning/concept-responsible-ai-dashboard,High,SA:02,,100,,N,
GenAI Security: Architecture,"Enable logging, monitoring, and alerting for all execution activities to detect abnormal behavior, misuse, or potential compromise at an early stage.",https://learn.microsoft.com/azure/defender-for-cloud/defender-for-cloud-introduction#cloud-workload-protection-platform-cwpp,High,SA:01,,100,,N,
GenAI Security: Architecture,"Apply Azure RBAC and Managed Identities for all data/model access paths, and audit access regularly.",https://learn.microsoft.com/azure/ai-foundry/openai/how-to/role-based-access-control,High,SA:02,,100,,N,
